,0
0,!
1,?
2,AuthorityBiasเป็น
3,BackfireEffect
4,BeliefBiasการ
5,Blackholeเป็น
6,Clasper
7,ConfirmationBias
8,Conformalcycliccosmologyทฤษฎี
9,Gonopodiumกิ้งก่า
10,IQ
11,MRI
12,Microlensingมีมวล
13,NAcc
14,NAccNucleusAccumbens
15,NAccนี้
16,NAccมีการ
17,NAccไม่
18,Nocloningtheoremซึ่ง
19,Reactanceหาก
20,StatusQuoBias
21,Stereotyping
22,SunkCostFallacyเป็นการ
23,Terminalvelocity
24,ThirdPersonEffect
25,TimeCrystals
26,ZeroRiskBiasเวลา
27,bod
28,cyclicmodelซึ่ง
29,frictionที่
30,logicalfallacyกับcognitivebiasทั้ง
31,monogamy
32,oxytocin
33,oxyuravittataแห่งทวีปอเมริกาใต้
34,timecrystals
35,vasopressinที่
36,visceralfat
37,yfat
38,กดดัน
39,กรณี
40,กระจิ๋ว
41,กระจู๋
42,กระจู๋ลึงค์
43,กระจู๋เรียบเรียง
44,กระดูก
45,กระตุ้น
46,กระบวน
47,กระบวนการ
48,กระบอก
49,กระสุน
50,กระหายLust
51,กระเด็น
52,กระเบน
53,กระเบียดนิ้ว
54,กระแส
55,กลยุทธ
56,กลับ
57,กลับคืน
58,กลัว
59,กลาย
60,กลุ่ม
61,กลไก
62,กล่าว
63,กล้อง
64,กว่า
65,กว้าง
66,กะ
67,กัน
68,กันแถม
69,กันและกัน
70,กับ
71,กา
72,กาย
73,กายbioelectricalimpedanceanalysis
74,กายภาพ
75,การ
76,กำลัง
77,กำลังพลอดรัก
78,กำเนิด
79,กิจกรรม
80,กิน
81,กี่
82,กุญแจ
83,กุมภาพันธ์คศ
84,กู้
85,ก็
86,ก็ตาม
87,ก่อ
88,ก่อน
89,ก่อนหน้า
90,ก้น
91,ก้อน
92,ก๊อป
93,ขณะ
94,ขน
95,ขนส่งอสุจิ
96,ขนาด
97,ขยะ
98,ขยาย
99,ขวา
100,ของ
101,ขอบ
102,ขัดแย้ง
103,ขัดใจ
104,ขับถ่ายOnestopservice
105,ขับเคลื่อน
106,ขั้น
107,ขั้ว
108,ขาด
109,ขาย
110,ขีด
111,ขีปณาวุธ
112,ขึ้น
113,ขโมยข
114,ข้อ
115,ข้อมูล
116,ข้าง
117,คง
118,คงที่
119,คณิตศาสตร์
120,คน
121,ครบถ้วน
122,ครอง
123,ครอบครัว
124,ครั้ง
125,ครีบ
126,คลอเคลีย
127,คลอเคลียเลีย
128,คลื่น
129,คล้าย
130,ควบคุม
131,ควร
132,ควอนตัม
133,ควอนตัมopticalquantumsystemด้วย
134,ควอร์ตฯล
135,ความ
136,ความหมาย
137,คศ
138,คอมพิวเตอร์
139,คะแนน
140,คัดสรร
141,คั่ง
142,คำ
143,คำนวณ
144,คำนึง
145,คิด
146,คิดค้น
147,คืน
148,คือ
